id;created_by;created_date;last_modified_by;last_modified_date;year_month;att_start;att_end;comment
1;Intelligent;2023-02-28T12:39:41;Towels Hat RSS;2023-02-28T12:50:23;Investment cross-platform;2023-03-01T00:42:28;2023-02-28T09:54:25;Compatible Uzbekistan portals
2;virtual;2023-02-28T18:16:47;Plastic;2023-02-28T13:18:59;compelling;2023-02-28T05:44:25;2023-02-28T19:24:17;Agent
3;Manager;2023-03-01T02:09:15;Shoes navigating alarm;2023-02-28T14:13:35;Implemented;2023-02-28T17:28:35;2023-02-28T15:29:50;JBOD Virgin
4;Innovative Incredible;2023-02-28T09:37:46;Liaison Tools;2023-02-28T22:41:10;out-of-the-box;2023-02-28T08:08:45;2023-02-28T09:19:15;transparent Rwanda
5;Berkshire purple input;2023-03-01T00:03:29;streamline plum Plastic;2023-02-28T12:11:40;Avon;2023-02-28T06:32:31;2023-02-28T15:08:52;fuchsia navigate
6;primary;2023-03-01T02:11:12;Steel;2023-02-28T15:14:28;Interface monetize National;2023-03-01T01:12:12;2023-02-28T09:17:02;Public-key Granite navigate
7;red;2023-02-28T10:24:14;indexing bus Kids;2023-03-01T02:17:18;Rustic protocol;2023-02-28T14:04:12;2023-02-28T19:11:37;leading-edge Cambridgeshire Frozen
8;up Fields;2023-02-28T08:30:15;Marketing Practical program;2023-02-28T22:37:29;embrace Account back-end;2023-02-28T22:43:55;2023-03-01T00:53:50;RAM Operations
9;Planner Rustic;2023-03-01T05:04:29;backing fuchsia;2023-02-28T16:21:40;Cayman Licensed;2023-02-28T08:00:06;2023-03-01T05:27:17;Cambridgeshire Idaho
10;sensor synthesize;2023-03-01T04:17:39;Steel Soap program;2023-03-01T04:59:40;Specialist;2023-02-28T21:26:34;2023-02-28T16:48:36;networks
